fecha,divisa_venta
11/01/2002,1.60
14/01/2002,1.60
15/01/2002,1.70
16/01/2002,1.90
17/01/2002,1.90
18/01/2002,1.95
21/01/2002,1.95
22/01/2002,1.95
23/01/2002,1.95
24/01/2002,1.95
25/01/2002,1.95
28/01/2002,2.07
29/01/2002,2.05
30/01/2002,2.05
31/01/2002,2.05
01/02/2002,2.05
11/02/2002,1.95
12/02/2002,1.85
13/02/2002,1.70
14/02/2002,1.80
15/02/2002,1.95
18/02/2002,2.00
19/02/2002,2.10
20/02/2002,2.10
21/02/2002,2.00
22/02/2002,2.05
25/02/2002,2.15
26/02/2002,2.15
27/02/2002,2.15
28/02/2002,2.15
01/03/2002,2.1
04/03/2002,2.05
05/03/2002,2.05
06/03/2002,2.15
07/03/2002,2.2
08/03/2002,2.25
11/03/2002,2.35
12/03/2002,2.4
13/03/2002,2.37
14/03/2002,2.38
15/03/2002,2.31
18/03/2002,2.38
19/03/2002,2.42
20/03/2002,2.48
21/03/2002,2.38
22/03/2002,2.95
25/03/2002,3.15
26/03/2002,2.9
02/04/2002,2.95
03/04/2002,2.95
04/04/2002,2.68
05/04/2002,2.75
08/04/2002,2.75
09/04/2002,2.8
10/04/2002,2.8
11/04/2002,2.85
12/04/2002,2.9
15/04/2002,2.95
16/04/2002,2.8
17/04/2002,2.87
18/04/2002,3.1
19/04/2002,3.15
29/04/2002,2.95
30/04/2002,2.98
02/05/2002,3.1
06/05/2002,3.2
07/05/2002,3.2
08/05/2002,3.2
09/05/2002,3.19
10/05/2002,3.25
13/05/2002,3.25
14/05/2002,3.25
15/05/2002,3.25
16/05/2002,3.25
17/05/2002,3.4
20/05/2002,3.55
21/05/2002,3.45
22/05/2002,3.45
23/05/2002,3.40
24/05/2002,3.45
27/05/2002,3.50
28/05/2002,3.50
29/05/2002,3.60
30/05/2002,3.60
31/05/2002,3.60
03/06/2002,3.62
04/06/2002,3.62
05/06/2002,3.65
06/06/2002,3.65
07/06/2002,3.65
10/06/2002,3.50
11/06/2002,3.50
12/06/2002,3.50
13/06/2002,3.50
14/06/2002,3.57
18/06/2002,3.55
19/06/2002,3.56
20/06/2002,3.61
21/06/2002,3.73
24/06/2002,3.79
25/06/2002,3.90
26/06/2002,3.85
27/06/2002,3.80
28/06/2002,3.80
01/07/2002,3.79
02/07/2002,3.65
03/07/2002,3.59
04/07/2002,3.57
05/07/2002,3.60
08/07/2002,3.55
10/07/2002,3.56
11/07/2002,3.59
12/07/2002,3.60
15/07/2002,3.60
16/07/2002,3.57
17/07/2002,3.57
18/07/2002,3.56
19/07/2002,3.58
22/07/2002,3.62
23/07/2002,3.67
24/07/2002,3.64
25/07/2002,3.65
26/07/2002,3.66
29/07/2002,3.66
30/07/2002,3.68
31/07/2002,3.70
01/08/2002,3.61
02/08/2002,3.63
05/08/2002,3.64
06/08/2002,3.63
07/08/2002,3.64
08/08/2002,3.65
09/08/2002,3.64
12/08/2002,3.62
13/08/2002,3.63
14/08/2002,3.64
15/08/2002,3.64
16/08/2002,3.64
20/08/2002,3.63
21/08/2002,3.59
22/08/2002,3.59
23/08/2002,3.62
26/08/2002,3.63
27/08/2002,3.62
28/08/2002,3.61
