"","date","value"
"1",2007-10-16,0
"2",2007-10-17,0
"3",2007-10-18,0
"4",2007-10-19,NA
"5",2007-10-20,NA
"6",2007-10-21,0
"7",2007-10-22,NA
"8",2007-10-23,0
"9",2007-10-24,0
"10",2007-10-25,0
"11",2007-10-26,0
"12",2007-10-27,0
"13",2007-10-28,0
"14",2007-10-29,0
"15",2007-10-30,0
"16",2007-10-31,0.6
"17",2007-11-01,0
"18",2007-11-02,0
"19",2007-11-03,0
"20",2007-11-04,0
"21",2007-11-05,0
"22",2007-11-06,0
"23",2007-11-07,0
"24",2007-11-08,6.2
"25",2007-11-09,19.6
"26",2007-11-10,0
"27",2007-11-11,0
"28",2007-11-12,0
"29",2007-11-13,0
"30",2007-11-14,0
"31",2007-11-15,0
"32",2007-11-16,0
"33",2007-11-17,0
"34",2007-11-18,0
"35",2007-11-19,0
"36",2007-11-20,0.1
"37",2007-11-21,0
"38",2007-11-22,0
"39",2007-11-23,0
"40",2007-11-24,0
"41",2007-11-25,0
"42",2007-11-26,0
"43",2007-11-27,0.8
"44",2007-11-28,0
"45",2007-11-29,0
"46",2007-11-30,0
"47",2007-12-01,12.8
"48",2007-12-02,0
"49",2007-12-03,0.8
"50",2007-12-04,9.1
"51",2007-12-05,0
"52",2007-12-06,5.2
"53",2007-12-07,0
"54",2007-12-08,0
"55",2007-12-09,0
"56",2007-12-10,0
"57",2007-12-11,0
"58",2007-12-12,0
"59",2007-12-13,0.6
"60",2007-12-14,35
"61",2007-12-15,0
"62",2007-12-16,0
"63",2007-12-17,0
"64",2007-12-18,0
"65",2007-12-19,0
"66",2007-12-20,0
"67",2007-12-21,0
"68",2007-12-22,0
"69",2007-12-23,0
"70",2007-12-24,0
"71",2007-12-25,2.2
"72",2007-12-26,1.6
"73",2007-12-27,0.2
"74",2007-12-28,0.2
"75",2007-12-29,0.1
"76",2007-12-30,0.4
"77",2007-12-31,0.1
"78",2008-01-01,0
"79",2008-01-02,0.1
"80",2008-01-03,0
"81",2008-01-04,0
"82",2008-01-05,0
"83",2008-01-06,0
"84",2008-01-07,0
"85",2008-01-08,0
"86",2008-01-09,0
"87",2008-01-10,0
"88",2008-01-11,0
"89",2008-01-12,0
"90",2008-01-13,0
"91",2008-01-14,0
"92",2008-01-15,0
"93",2008-01-16,0
"94",2008-01-17,0
"95",2008-01-18,0.1
"96",2008-01-19,0
"97",2008-01-20,0
"98",2008-01-21,0
"99",2008-01-22,0.1
"100",2008-01-23,0
"101",2008-01-24,0
"102",2008-01-25,0.1
"103",2008-01-26,0
"104",2008-01-27,0
"105",2008-01-28,0
"106",2008-01-29,0
"107",2008-01-30,0
"108",2008-01-31,0
"109",2008-02-01,0
"110",2008-02-02,0
"111",2008-02-03,0
"112",2008-02-04,0
"113",2008-02-05,0
"114",2008-02-06,29.1
"115",2008-02-07,3.5
"116",2008-02-08,0
"117",2008-02-09,0
"118",2008-02-10,0
"119",2008-02-11,0
"120",2008-02-12,0
"121",2008-02-13,0
"122",2008-02-14,0
"123",2008-02-15,5.7
"124",2008-02-16,6.4
"125",2008-02-17,0.5
"126",2008-02-18,5.2
"127",2008-02-19,0
"128",2008-02-20,5.5
"129",2008-02-21,27
"130",2008-02-22,0.1
"131",2008-02-23,0
"132",2008-02-24,15.3
"133",2008-02-25,0.7
"134",2008-02-26,0
"135",2008-02-27,0
"136",2008-02-28,0
"137",2008-02-29,0
"138",2008-03-01,0
"139",2008-03-02,0
"140",2008-03-03,0.6
"141",2008-03-04,0
"142",2008-03-05,4.1
"143",2008-03-06,33
"144",2008-03-07,3.5
"145",2008-03-08,0.1
"146",2008-03-09,62.1
"147",2008-03-10,0
"148",2008-03-11,0
"149",2008-03-12,0
"150",2008-03-13,0
"151",2008-03-14,0
"152",2008-03-15,0
"153",2008-03-16,0
"154",2008-03-17,0
"155",2008-03-18,0
"156",2008-03-19,0
"157",2008-03-20,0
"158",2008-03-21,0
"159",2008-03-22,18.4
"160",2008-03-23,0
"161",2008-03-24,0
"162",2008-03-25,0
"163",2008-03-26,0
"164",2008-03-27,7.1
"165",2008-03-28,10
"166",2008-03-29,0.4
"167",2008-03-30,2.8
"168",2008-03-31,0
"169",2008-04-01,0.1
"170",2008-04-02,0
"171",2008-04-03,0
"172",2008-04-04,0
"173",2008-04-05,0
"174",2008-04-06,0
"175",2008-04-07,0
"176",2008-04-08,0
"177",2008-04-09,0
"178",2008-04-10,0
"179",2008-04-11,0
"180",2008-04-12,0
"181",2008-04-13,0
"182",2008-04-14,0
"183",2008-04-15,0
"184",2008-04-16,0
"185",2008-04-17,0
"186",2008-04-18,0
"187",2008-04-19,0
"188",2008-04-20,0
"189",2008-04-21,0
"190",2008-04-22,0
"191",2008-04-23,0
"192",2008-04-24,0
"193",2008-04-25,0
"194",2008-04-26,0
"195",2008-04-27,0
"196",2008-04-28,0
"197",2008-04-29,0
"198",2008-04-30,0
"199",2008-05-01,0
"200",2008-05-02,0
"201",2008-05-03,0
"202",2008-05-04,0
"203",2008-05-05,0
"204",2008-05-06,0
"205",2008-05-07,0
"206",2008-05-08,0
"207",2008-05-09,0
"208",2008-05-10,0
"209",2008-05-11,0
"210",2008-05-12,0
"211",2008-05-13,0
"212",2008-05-14,0
"213",2008-05-15,0
"214",2008-05-16,0
"215",2008-05-17,0
"216",2008-05-18,0
"217",2008-05-19,0
"218",2008-05-20,0
"219",2008-05-21,0
"220",2008-05-22,0
"221",2008-05-23,0
"222",2008-05-24,1
"223",2008-05-25,0.6
"224",2008-05-26,0
"225",2008-05-27,0.3
"226",2008-05-28,7.2
"227",2008-05-29,0.2
"228",2008-05-30,0
"229",2008-05-31,0
"230",2008-06-01,0
"231",2008-06-02,0
"232",2008-06-03,0
"233",2008-06-04,0
"234",2008-06-05,0
"235",2008-06-06,0
"236",2008-06-07,0.3
"237",2008-06-08,0
"238",2008-06-09,0
"239",2008-06-10,0
"240",2008-06-11,0
"241",2008-06-12,0
"242",2008-06-13,0
"243",2008-06-14,0
