"","month.order","year","accumulated.value"
"1",10,2007,0.6
"2",11,2007,26.7
"3",12,2007,68.3
"4",1,2008,0.4
"5",2,2008,99
"6",3,2008,142.1
"7",4,2008,0.1
"8",5,2008,9.3
"9",6,2008,0.6
"10",7,2008,0.1
"11",8,2008,0.1
"12",9,2008,13.4
"13",10,2008,14.8
"14",11,2008,98.1
"15",12,2008,119.7
"16",1,2009,86.6
"17",2,2009,35.6
"18",3,2009,29
"19",4,2009,1.3
"20",5,2009,3.4
"21",6,2009,0
"22",7,2009,2
"23",8,2009,0
"24",9,2009,4.4
"25",10,2009,7.6
"26",11,2009,9.1
"27",12,2009,109.3
"28",1,2010,69
"29",2,2010,79.3
"30",3,2010,21.1
"31",4,2010,6.4
"32",5,2010,29.3
"33",6,2010,0.4
"34",7,2010,0
"35",8,2010,5.6
"36",9,2010,16.7
"37",10,2010,16.5
"38",11,2010,58.9
"39",12,2010,78.1
"40",1,2011,44.3
"41",2,2011,99
"42",3,2011,71.8
"43",4,2011,11
"44",5,2011,0
"45",6,2011,0
"46",7,2011,3.4
"47",8,2011,2.8
"48",9,2011,0.2
"49",10,2011,48.5
"50",11,2011,57.6
"51",12,2011,20.3
"52",1,2012,0
"53",2,2012,120.6
"54",3,2012,0.7
"55",4,2012,36.2
"56",5,2012,0.4
"57",6,2012,0.2
"58",7,2012,0.1
"59",8,2012,9.6
"60",9,2012,30
"61",10,2012,20.3
"62",11,2012,72.4
"63",12,2012,5
"64",1,2013,131.8
"65",2,2013,23.3
"66",3,2013,19.1
"67",4,2013,27.5
"68",5,2013,0.6
"69",6,2013,1
"70",7,2013,0.2
"71",8,2013,1.9
"72",9,2013,0.6
"73",10,2013,24.9
"74",11,2013,11.3
"75",12,2013,72.7
"76",1,2014,72
"77",2,2014,142.2
"78",3,2014,66.8
"79",4,2014,16.4
"80",5,2014,1.8
"81",6,2014,0
"82",7,2014,0
"83",8,2014,0.6
"84",9,2014,5.2
"85",10,2014,0.1
"86",11,2014,39.2
"87",12,2014,58.4
"88",1,2015,47.2
"89",2,2015,84
"90",3,2015,13.9
"91",4,2015,43.7
"92",5,2015,0
"93",6,2015,0
"94",7,2015,0
"95",8,2015,19.7
"96",9,2015,8.4
"97",10,2015,29.1
"98",11,2015,131.5
"99",12,2015,41.5
"100",1,2016,38.2
"101",2,2016,71.9
"102",3,2016,55.3
"103",4,2016,17.6
"104",5,2016,16.6
"105",6,2016,51.3
"106",7,2016,0
"107",8,2016,0
"108",9,2016,2.5
"109",10,2016,37.5
"110",11,2016,32.1
"111",12,2016,66.5
"112",1,2017,14.5
"113",2,2017,44.8
"114",3,2017,78.1
"115",4,2017,69.9
"116",5,2017,17.2
"117",6,2017,1.3
"118",7,2017,4.8
"119",8,2017,0.6
"120",9,2017,16.6
"121",10,2017,25.3
"122",11,2017,24.9
"123",12,2017,76.9
"124",1,2018,58.4
"125",2,2018,57.5
"126",3,2018,39
"127",4,2018,15.6
