"","month.order","year","mean.value"
"1",10,2007,22.4875
"2",11,2007,21.045
"3",12,2007,23.2951612903226
"4",1,2008,24.1741935483871
"5",2,2008,22.398275862069
"6",3,2008,20.7274193548387
"7",4,2008,16.9083333333333
"8",5,2008,14.1306451612903
"9",6,2008,9.62166666666667
"10",7,2008,11.5258064516129
"11",8,2008,12.2274193548387
"12",9,2008,14.5466666666667
"13",10,2008,18.7306451612903
"14",11,2008,22.6433333333333
"15",12,2008,22.6935483870968
"16",1,2009,22.6822580645161
"17",2,2009,23.4392857142857
"18",3,2009,22.6967741935484
"19",4,2009,20.8183333333333
"20",5,2009,14.2258064516129
"21",6,2009,10.8716666666667
"22",7,2009,8.81935483870968
"23",8,2009,14.2838709677419
"24",9,2009,12.2983333333333
"25",10,2009,20.0774193548387
"26",11,2009,23.255
"27",12,2009,23.4822580645161
"28",1,2010,25.4725806451613
"29",2,2010,23.4660714285714
"30",3,2010,22.8177419354839
"31",4,2010,16.2733333333333
"32",5,2010,12.3741935483871
"33",6,2010,10.27
"34",7,2010,7.72096774193548
"35",8,2010,10.9016129032258
"36",9,2010,14.98
"37",10,2010,17.591935483871
"38",11,2010,20.475
"39",12,2010,23.5354838709677
"40",1,2011,23.9048387096774
"41",2,2011,21.6660714285714
"42",3,2011,20.4532258064516
"43",4,2011,17.545
"44",5,2011,12.7354838709677
"45",6,2011,8.775
"46",7,2011,8.12903225806452
"47",8,2011,11.0741935483871
"48",9,2011,16.6083333333333
"49",10,2011,17.5887096774194
"50",11,2011,21.5733333333333
"51",12,2011,22.62
"52",1,2012,NA
"53",2,2012,23.7413793103448
"54",3,2012,22.0177419354839
"55",4,2012,16.9716666666667
"56",5,2012,14.8016129032258
"57",6,2012,10.3166666666667
"58",7,2012,8.40645161290323
"59",8,2012,11.8467741935484
"60",9,2012,15.6666666666667
"61",10,2012,17.8709677419355
"62",11,2012,22.0083333333333
"63",12,2012,24.0612903225806
"64",1,2013,24.6096774193548
"65",2,2013,23.8482142857143
"66",3,2013,20.1354838709677
"67",4,2013,18.08
"68",5,2013,13.4983870967742
"69",6,2013,11.9516666666667
"70",7,2013,9.26290322580645
"71",8,2013,11.3193548387097
"72",9,2013,12.8516666666667
"73",10,2013,19.8467741935484
"74",11,2013,21.715
"75",12,2013,26.0596774193548
"76",1,2014,25.7338709677419
"77",2,2014,21.4928571428571
"78",3,2014,18.7693548387097
"79",4,2014,15.4466666666667
"80",5,2014,13.6838709677419
"81",6,2014,10.875
"82",7,2014,10.9403225806452
"83",8,2014,13.7596774193548
"84",9,2014,16.1116666666667
"85",10,2014,20.8216666666667
"86",11,2014,20.55
"87",12,2014,22.5388888888889
"88",1,2015,25.1913793103448
"89",2,2015,22.0446428571429
"90",3,2015,21.6451612903226
"91",4,2015,19.0083333333333
"92",5,2015,14.6564516129032
"93",6,2015,11.6483333333333
"94",7,2015,10.715
"95",8,2015,13.5096774193548
"96",9,2015,13.905
"97",10,2015,15.5913793103448
"98",11,2015,18.632
"99",12,2015,23.1822580645161
"100",1,2016,24.4980769230769
"101",2,2016,24.3086206896552
"102",3,2016,20.5403225806452
"103",4,2016,15.005
"104",5,2016,11.8806451612903
"105",6,2016,8.29333333333333
"106",7,2016,9.49032258064516
"107",8,2016,13.9209677419355
"108",9,2016,15.155
"109",10,2016,17.3741935483871
"110",11,2016,20.4916666666667
"111",12,2016,23.4016129032258
"112",1,2017,26.1241935483871
"113",2,2017,24.0178571428571
"114",3,2017,21.2209677419355
"115",4,2017,16.2516666666667
"116",5,2017,12.8596774193548
"117",6,2017,10.3483333333333
"118",7,2017,10.6322580645161
"119",8,2017,12.4370967741935
"120",9,2017,14.14
"121",10,2017,18.1838709677419
"122",11,2017,20.9666666666667
"123",12,2017,23.4564516129032
"124",1,2018,25.1241935483871
"125",2,2018,24.6553571428571
"126",3,2018,21.191935483871
"127",4,2018,20.5055555555556
