"fecha","divisa_venta","Presidencia"
2002-01-11,1.6,"ED"
2002-01-14,1.6,"ED"
2002-01-15,1.7,"ED"
2002-01-16,1.9,"ED"
2002-01-17,1.9,"ED"
2002-01-18,1.95,"ED"
2002-01-21,1.95,"ED"
2002-01-22,1.95,"ED"
2002-01-23,1.95,"ED"
2002-01-24,1.95,"ED"
2002-01-25,1.95,"ED"
2002-01-28,2.07,"ED"
2002-01-29,2.05,"ED"
2002-01-30,2.05,"ED"
2002-01-31,2.05,"ED"
2002-02-01,2.05,"ED"
2002-02-11,1.95,"ED"
2002-02-12,1.85,"ED"
2002-02-13,1.7,"ED"
2002-02-14,1.8,"ED"
2002-02-15,1.95,"ED"
2002-02-18,2,"ED"
2002-02-19,2.1,"ED"
2002-02-20,2.1,"ED"
2002-02-21,2,"ED"
2002-02-22,2.05,"ED"
2002-02-25,2.15,"ED"
2002-02-26,2.15,"ED"
2002-02-27,2.15,"ED"
2002-02-28,2.15,"ED"
2002-03-01,2.1,"ED"
2002-03-04,2.05,"ED"
2002-03-05,2.05,"ED"
2002-03-06,2.15,"ED"
2002-03-07,2.2,"ED"
2002-03-08,2.25,"ED"
2002-03-11,2.35,"ED"
2002-03-12,2.4,"ED"
2002-03-13,2.37,"ED"
2002-03-14,2.38,"ED"
2002-03-15,2.31,"ED"
2002-03-18,2.38,"ED"
2002-03-19,2.42,"ED"
2002-03-20,2.48,"ED"
2002-03-21,2.38,"ED"
2002-03-22,2.95,"ED"
2002-03-25,3.15,"ED"
2002-03-26,2.9,"ED"
2002-04-02,2.95,"ED"
2002-04-03,2.95,"ED"
2002-04-04,2.68,"ED"
2002-04-05,2.75,"ED"
2002-04-08,2.75,"ED"
2002-04-09,2.8,"ED"
2002-04-10,2.8,"ED"
2002-04-11,2.85,"ED"
2002-04-12,2.9,"ED"
2002-04-15,2.95,"ED"
2002-04-16,2.8,"ED"
2002-04-17,2.87,"ED"
2002-04-18,3.1,"ED"
2002-04-19,3.15,"ED"
2002-04-29,2.95,"ED"
2002-04-30,2.98,"ED"
2002-05-02,3.1,"ED"
2002-05-06,3.2,"ED"
2002-05-07,3.2,"ED"
2002-05-08,3.2,"ED"
2002-05-09,3.19,"ED"
2002-05-10,3.25,"ED"
2002-05-13,3.25,"ED"
2002-05-14,3.25,"ED"
2002-05-15,3.25,"ED"
2002-05-16,3.25,"ED"
2002-05-17,3.4,"ED"
2002-05-20,3.55,"ED"
2002-05-21,3.45,"ED"
2002-05-22,3.45,"ED"
2002-05-23,3.4,"ED"
2002-05-24,3.45,"ED"
2002-05-27,3.5,"ED"
2002-05-28,3.5,"ED"
2002-05-29,3.6,"ED"
2002-05-30,3.6,"ED"
2002-05-31,3.6,"ED"
2002-06-03,3.62,"ED"
2002-06-04,3.62,"ED"
2002-06-05,3.65,"ED"
2002-06-06,3.65,"ED"
2002-06-07,3.65,"ED"
2002-06-10,3.5,"ED"
2002-06-11,3.5,"ED"
2002-06-12,3.5,"ED"
2002-06-13,3.5,"ED"
2002-06-14,3.57,"ED"
2002-06-18,3.55,"ED"
2002-06-19,3.56,"ED"
2002-06-20,3.61,"ED"
2002-06-21,3.73,"ED"
2002-06-24,3.79,"ED"
2002-06-25,3.9,"ED"
2002-06-26,3.85,"ED"
2002-06-27,3.8,"ED"
2002-06-28,3.8,"ED"
2002-07-01,3.79,"ED"
2002-07-02,3.65,"ED"
2002-07-03,3.59,"ED"
2002-07-04,3.57,"ED"
2002-07-05,3.6,"ED"
2002-07-08,3.55,"ED"
2002-07-10,3.56,"ED"
2002-07-11,3.59,"ED"
2002-07-12,3.6,"ED"
2002-07-15,3.6,"ED"
2002-07-16,3.57,"ED"
2002-07-17,3.57,"ED"
2002-07-18,3.56,"ED"
2002-07-19,3.58,"ED"
2002-07-22,3.62,"ED"
2002-07-23,3.67,"ED"
2002-07-24,3.64,"ED"
2002-07-25,3.65,"ED"
2002-07-26,3.66,"ED"
2002-07-29,3.66,"ED"
2002-07-30,3.68,"ED"
2002-07-31,3.7,"ED"
2002-08-01,3.61,"ED"
2002-08-02,3.63,"ED"
2002-08-05,3.64,"ED"
2002-08-06,3.63,"ED"
2002-08-07,3.64,"ED"
2002-08-08,3.65,"ED"
2002-08-09,3.64,"ED"
2002-08-12,3.62,"ED"
2002-08-13,3.63,"ED"
2002-08-14,3.64,"ED"
2002-08-15,3.64,"ED"
2002-08-16,3.64,"ED"
2002-08-20,3.63,"ED"
2002-08-21,3.59,"ED"
2002-08-22,3.59,"ED"
2002-08-23,3.62,"ED"
2002-08-26,3.63,"ED"
2002-08-27,3.62,"ED"
2002-08-28,3.61,"ED"
2002-08-29,3.62,"ED"
2002-08-30,3.63,"ED"
2002-09-02,3.63,"ED"
2002-09-03,3.64,"ED"
2002-09-04,3.65,"ED"
2002-09-05,3.63,"ED"
2002-09-06,3.63,"ED"
2002-09-09,3.63,"ED"
2002-09-10,3.63,"ED"
2002-09-11,3.62,"ED"
2002-09-12,3.63,"ED"
2002-09-13,3.64,"ED"
2002-09-16,3.65,"ED"
2002-09-17,3.63,"ED"
2002-09-18,3.65,"ED"
2002-09-19,3.67,"ED"
2002-09-20,3.66,"ED"
2002-09-23,3.67,"ED"
2002-09-24,3.65,"ED"
2002-09-25,3.67,"ED"
2002-09-26,3.67,"ED"
2002-09-27,3.75,"ED"
2002-09-30,3.74,"ED"
2002-10-01,3.74,"ED"
2002-10-02,3.75,"ED"
2002-10-03,3.75,"ED"
2002-10-04,3.75,"ED"
2002-10-07,3.75,"ED"
2002-10-08,3.74,"ED"
2002-10-09,3.72,"ED"
2002-10-10,3.7,"ED"
2002-10-11,3.7,"ED"
2002-10-15,3.66,"ED"
2002-10-16,3.6,"ED"
2002-10-17,3.6,"ED"
2002-10-18,3.63,"ED"
2002-10-21,3.63,"ED"
2002-10-22,3.62,"ED"
2002-10-23,3.61,"ED"
2002-10-24,3.61,"ED"
2002-10-25,3.62,"ED"
2002-10-28,3.6,"ED"
2002-10-29,3.58,"ED"
2002-10-30,3.55,"ED"
2002-10-31,3.52,"ED"
2002-11-01,3.54,"ED"
2002-11-04,3.57,"ED"
2002-11-05,3.54,"ED"
2002-11-07,3.57,"ED"
2002-11-08,3.56,"ED"
2002-11-11,3.56,"ED"
2002-11-12,3.53,"ED"
2002-11-13,3.53,"ED"
2002-11-14,3.56,"ED"
2002-11-15,3.54,"ED"
2002-11-18,3.53,"ED"
2002-11-19,3.52,"ED"
2002-11-20,3.52,"ED"
2002-11-21,3.51,"ED"
2002-11-22,3.5,"ED"
2002-11-25,3.5,"ED"
2002-11-26,3.48,"ED"
2002-11-27,3.5,"ED"
2002-11-28,3.57,"ED"
2002-11-29,3.64,"ED"
2002-12-02,3.58,"ED"
2002-12-03,3.54,"ED"
2002-12-04,3.53,"ED"
2002-12-05,3.53,"ED"
2002-12-06,3.53,"ED"
2002-12-09,3.53,"ED"
2002-12-10,3.52,"ED"
2002-12-11,3.51,"ED"
